Galaxy Name,m-M,err,distance,Method,REFCODE,Notes,RA,Dec,GLON,GLAT,Type (RC3),velocity
,(mag),(mag),(Mpc),,,,(J2000),(J2000),,,,(km/s)
NGC 4163,27.36,...,2.96,TRGB,2006AJ....131.1361K,,12:12:09,#REF!,163.2,77.7,IA.9,183
NGC 4168,32.45,0.42,30.9,SBF,2001ApJ...546..681T,I,12:12:17,#REF!,267.7,73.3,E.2,2224
NGC 4190,27.7,...,3.47,BS,1998A&AS..128..325T,,12:13:45,#REF!,160.6,77.6,I..9P,251
ESO 321- G 014,27.52,...,3.2,TRGB,2002A&A...385...21K,,12:13:50,-38:13:53,294.9,24,IB.9,428
NGC 4193,32.86,0.1,37.3,Sosies,2002A&A...393...57T,,12:13:54,#REF!,268.9,73.5,SXS5*$,2415
"UGC 07242, kkh 077",28.67,...,5.42,TRGB,2006AJ....131.1361K,,12:14:08,#REF!,128.9,50.6,S..6*,185
"DDO 113, KDG 090",27.28,0.11,2.86,TRGB,2002A&A...389..812K,,12:14:58,#REF!,161.1,78.1,I..9*,304
NGC 4203,30.49,0.1,12.5,GCLF,2001AJ....122.1251K,,12:15:05,#REF!,173,80.1,LX.-*,1096
IC 3065,30.7,...,13.8,GC radius,2005ApJ...634.1002J,GCrad,12:15:13,#REF!,267.5,74.8,L?,1018
ESO 380- G 006,32.34,0.08,29.4,Sosies,2002A&A...393...57T,,12:15:34,-35:37:47,294.8,26.7,PSAS3*,2758
NGC 4214,27.13,0.15,2.7,TRGB,2002AJ....124..811D,,12:15:39,#REF!,160.3,78.1,IXS9,313
NGC 4217,31.04,...,16.1,Tully-Fisher,2003astro.ph.10284R,"I, TD-Tully-Fisher",12:15:51,#REF!,139.9,68.8,S..3./,1084
UGC 07298,28.12,0.17,4.21,TRGB,2003A&A...398..467K,,12:16:30,#REF!,135.2,64.1,I..9*,247
NGC 4236,28.24,0.22,4.45,TRGB,2002A&A...383..125K,I,12:16:42,#REF!,127.4,47.4,SBS8,127
NGC 4233,32.65,0.94,33.9,SBF,2001ApJ...546..681T,I,12:17:08,#REF!,278.7,68.9,L..0,2118
IC 3101,30.64,...,13.4,GC radius,2005ApJ...634.1002J,GCrad,12:17:20,#REF!,273.5,72.8,"dE4:,N:",1365
NGC 4244,27.88,0.06,3.77,TRGB,2005ApJ...633..810M,,12:17:30,#REF!,154.6,77.2,SAS6*/,270
1ES 1215+303,38.93,...,541,BL LAC M,2005ApJ...635..173S,,12:17:52,#REF!,188.9,82.1,BLLAC,36460
NGC 4251,31.46,0.2,19.6,SBF,2001ApJ...546..681T,I,12:18:08,#REF!,202.9,82.6,LB..$/,1008
IC 3104,26.78,0.18,2.27,TRGB,2002A&A...389..812K,,12:18:46,-79:43:34,301.4,-17,IBS9*,243
"M106, NGC 4258",29.32,...,7.3,Cepheids,2002ApJ...566..833C,HSTKP,12:18:58,#REF!,138.3,68.8,SXS4,510
