Galaxy Name,m-M,err,distance,Method,REFCODE,Notes,RA,Dec,GLON,GLAT,Type (RC3),velocity
,(mag),(mag),(Mpc),,,,(J2000),(J2000),,,,(km/s)
NGC 4631,29.26,0.04,7.11,TRGB,2006astro.ph..3457T,,12:42:08,#REF!,142.8,84.2,SBS7./,629
"IC 0809, IC 3672",30.64,...,13.4,GC radius,2005ApJ...634.1002J,,12:42:09,#REF!,294.4,74.5,E,198
NGC 4623,30.43,...,12.2,GC radius,2005ApJ...634.1002J,,12:42:11,#REF!,296.1,70.4,LB.+*/,1779
"IC 3687, UGC 07866",28.3,0.24,4.57,TRGB,2003A&A...398..467K,,12:42:15,#REF!,132,78.5,IXS9,399
NGC 4616,32.98,0.24,39.4,SBF,2001ApJ...546..681T,I,12:42:17,-40:38:31,301.1,22.2,E+..*,4409
NGC 4638,31.68,0.26,21.7,SBF,2001ApJ...546..681T,I,12:42:47,#REF!,295.1,74.2,L..-./,1083
IC 3690,35.35*,0.021,115,SNIa,2006ApJ...647..501P,"SN 1992P, z = 0.0254",12:42:49,#REF!,295.6,73.1,S?,7564
NGC 4636,31.2,0.3,17.4,GCLF,1994A&A...287..463K,,12:42:50,#REF!,297.7,65.5,E.0+,941
"M60, NGC 4639",31.52,0.08,20.2,Cepheids,2001ApJ...547L.103G,"17, VI",12:42:52,#REF!,294.3,76,SXT4,963
NGC 4649,30.73,0.13,14,PNLF,2002ApJ...577...31C,,12:43:40,#REF!,295.9,74.3,E.2,1065
NGC 4651,31.86,0.17,23.6,Sosies,2002A&A...393...57T,,12:43:43,#REF!,293.1,79.1,SAT5,772
NGC 4645,32.38,0.18,29.9,SBF,2001ApJ...546..681T,I,12:44:10,-41:45:00,301.5,21.1,E+,2411
NGC 4660,30.8,0.18,14.5,GCLF,2001AJ....121.2950K,,12:44:32,#REF!,296.8,74,E...*,1045
ESO 381- G 018,28.63,...,5.33,TRGB,2007AJ....133..504K,,12:44:42,-35:58:00,301.4,26.9,Irr,443
IC 3735,30.23,...,11.1,GC radius,2005ApJ...634.1002J,GCrad,12:45:20,#REF!,296.6,76.5,E?,1854
NGC 4675,34.15*,0.19,66.6,SNIa,2006ApJ...645..488W,"SN 1997Y, z = 0.01587",12:45:32,#REF!,124.8,62.4,SB.3*,4898
ESO 381- G 020,28.68,...,5.45,TRGB,2007AJ....133..504K,,12:46:01,-33:50:13,301.6,29,IBS9,421
"[DCL86] 187, PGC 043058",33.47,0.45,49.4,SBF,2003A&A...410..445M,I,12:46:09,-41:03:40,301.9,21.8,S,2462
NGC 4680,32.46*,0.19,30.8,SNIa,2006ApJ...645..488W,"SN 1997bp, z = 0.00831",12:46:55,-11:38:13,301.2,51.2,P,2376
DDO 147,30.09,...,10.4,BS,1998A&AS..128..459M,,12:47:00,#REF!,128.4,80.6,I..9*,369
NGC 4682,31.8,0.11,22.9,Sosies,2002A&A...393...57T,,12:47:16,-10:03:48,301.2,52.8,SXS6,2220
NGC 4684,30.65,0.19,13.5,SBF,2001ApJ...546..681T,I,12:47:18,-2:43:40,300.9,60.1,LBR+,1488
HIPASS J1247-77,27.5,...,3.16,TRGB,2006AJ....131.1361K,,12:47:26,-77:34:18,302.7,-14.7,Im,227
NGC 4679,34.025*,0.032,63.8,SNIa,2006ApJ...647..501P,"SN 2001cz, z = 0.01538",12:47:30,-39:34:15,302.1,23.3,SBS5P*,4481
"ESO 322- G 088, NGC 4696D",32.78,0.67,36,SBF,2001ApJ...546..681T,I,12:48:21,-41:42:51,302.3,21.2,LBR0P/,2414
NGC 4697,29.89,0.07,9.51,PNLF,2002ApJ...577...31C,,12:48:36,-5:48:03,301.6,57.1,E.6,1137
CCC 058,33.73,0.44,55.7,SBF,2003A&A...410..445M,I,12:48:36,-41:26:25,302.4,21.4,dE,3111
CCC 061,33.23,0.32,44.2,SBF,2003A&A...410..445M,I,12:48:40,-41:16:05,302.4,21.6,dE,2662
NGC 4704,34.851*,0.043,90.9,SNIa,2006ApJ...647..501P,"SN 1998ab, z = 0.02713",12:48:46,#REF!,124.9,75.2,SBT4P,8223
NGC 4696,32.95,0.34,38.9,GCLF,2005A&A...438..103M,,12:48:49,-41:18:40,302.4,21.6,E+1.P,2783
CCC 068,33.28,0.09,45.3,SBF,2003A&A...410..445M,I,12:48:53,-41:32:25,302.4,21.3,dE,-
"CCC 070, Abell 3526",32.58,0.33,32.8,SBF,2003A&A...410..445M,I,12:48:54,-41:19:09,302.4,21.6,E,2133
CCC 075,33.6,0.45,52.5,SBF,2003A&A...410..445M,I,12:49:02,-41:15:36,302.4,21.6,"dE,N",1776
[KK98] 166,28.38,...,4.74,TRGB,2003A&A...398..467K,,12:49:13,#REF!,126,81.5,dw Sph,-
CCC 089,33.5,0.31,50.1,SBF,2003A&A...410..445M,I,12:49:19,-41:20:09,302.5,21.5,E,2952
NGC 4712,34.81,0.21,91.6,Sosies,2002A&A...393...57T,,12:49:34,#REF!,288.7,88.3,SAS4,4385
ESO 322- G 101,32.18,0.44,27.3,SBF,2001ApJ...546..681T,I,12:49:35,-41:03:18,302.6,21.8,E?,1855
CCC 111,32.88,0.3,37.7,SBF,2003A&A...410..445M,I,12:49:40,-41:21:59,302.6,21.5,"dE,N",2692
CCC 115,33.33,0.57,46.3,SBF,2003A&A...410..445M,I,12:49:47,-41:22:08,302.6,21.5,dE,-
CCC 121,33.54,0.47,51.1,SBF,2003A&A...410..445M,I,12:49:54,-41:20:24,302.6,21.5,dE,4527
CCC 123,32.86,0.45,37.3,SBF,2003A&A...410..445M,I,12:49:56,-41:24:04,302.6,21.5,dS0,4451
CCC 124,33.49,0.45,50,SBF,2003A&A...410..445M,I,12:49:56,-41:23:22,302.6,21.5,dE,-
CCC 125,33.24,0.4,44.5,SBF,2003A&A...410..445M,I,12:49:56,-41:15:37,302.6,21.6,dE,2692
NGC 4709,32.32,0.33,29.1,GCLF,2005A&A...438..103M,,12:50:04,-41:22:57,302.7,21.5,E.1,4452
NGC 4725,30.37,0.1,11.9,Cepheids,2001ApJ...548..564W,LMC W01,12:50:27,#REF!,295.1,88.4,SXR2P,1207
"M94, NGC 4736",28.34,0.29,4.66,TRGB,2003A&A...398..467K,,12:50:53,#REF!,123.4,76,RSAR2,360
NGC 4733,30.87,0.2,14.9,SBF,2001ApJ...546..681T,I,12:51:07,#REF!,302.6,73.8,E+..*,871
NGC 4729,32.63,0.31,33.6,SBF,2001MNRAS.327.1004B,,12:51:46,-41:07:56,303,21.7,E+..*,3163
NGC 4742,30.95,0.16,15.5,SBF,2001ApJ...546..681T,I,12:51:48,-10:27:17,303.1,52.4,E.4.*,1176
NGC 4754,31.13,0.14,16.8,SBF,2001ApJ...546..681T,I,12:52:18,#REF!,303.7,74.2,LBR-*,1352
NGC 4753,31.86,0.19,23.6,SBF,2001ApJ...546..681T,I,12:52:22,-1:11:59,303.4,61.7,I.0,1312
ESO 323- G 025,33.56,0.21,51.5,Sosies,2002A&A...393...57T,,12:52:39,-39:01:42,303.2,23.8,PSBS4*,4025
ESO 323- G 034,32.69,0.22,34.5,SBF,2001ApJ...546..681T,I,12:53:26,-41:12:10,303.3,21.7,E.5.*,4125
NGC 4772,32.26,0.25,28.3,Sosies,2002A&A...393...57T,,12:53:29,#REF!,304.1,65,SAS1,968
NGC 4767,32.58,0.25,32.8,SBF,2001ApJ...546..681T,I,12:53:53,-39:42:52,303.4,23.2,E,2812
"NGC 4789A, DDO 154",28.18,...,4.3,BS,1998A&AS..128..459M,,12:54:05,#REF!,35.2,89.4,IBS9,384
NGC 4800,32.37,0.38,29.8,Sosies,2002A&A...393...57T,,12:54:38,#REF!,121.3,70.6,SAT3,879
ESO 443- G 009,28.81,...,5.78,TRGB,2007AJ....133..504K,,12:54:54,-28:20:27,303.9,34.5,Im,490
"KDG 215, LSBC F575-03",31.4,...,19.1,BS,1998A&AS..128..459M,,12:55:41,#REF!,310.2,82,dI,42
NGC 4802,30.31,0.16,11.5,SBF,2001ApJ...546..681T,I,12:55:50,-12:03:19,304.6,50.8,LAR.?,920
ESO 219- G 010,28.16,...,4.28,SBF,2000AJ....119..166J,,12:56:10,-50:08:38,303.7,12.7,"dE,N",-
"M64, NGC 4826",29.37,0.2,7.48,SBF,2001ApJ...546..681T,I,12:56:44,#REF!,315.7,84.4,RSAT2,403
"GR8, UGC 08091",26.45,0.07,1.95,Cepheids,2006MmSAI..77..299G,"1, R",12:58:40,#REF!,310.7,77,I..9,183
NGC 4874,35.15,0.12,107,GCLF,2002ApJ...567..294O,,12:59:36,#REF!,58.1,88,E+0,7166
NGC 4881,34.9,...,95.5,GCLF,2002ApJ...567..294O,,12:59:58,#REF!,64.1,87.8,E+,6720
"NGC 4908, IC 4051",35.07,0.17,103,GCLF,1997AJ....113.1483B,M87 GC,13:00:52,#REF!,57.1,87.7,E.5,8819
NGC 4897,33.45,0.59,49,Sosies,2002A&A...393...57T,,13:00:53,-13:26:59,306.5,49.4,SXR4*,2449
NGC 4926,35.23,0.2,111,GCLF,2002ApJ...567..294O,,13:01:54,#REF!,45.6,87.6,LA.-*,7906
ESO 443- G 041,34.39,0.04,75.5,Sosies,2002A&A...393...57T,,13:03:24,-32:14:14,305.9,30.6,PSXT3,4704
ESO 269- G 037,27.71,...,3.48,TRGB,2002A&A...385...21K,,13:03:34,-46:35:06,305.1,16.2,IABm:,-
NGC 4941,31.63,0.37,21.2,Sosies,2002A&A...393...57T,,13:04:13,-5:33:06,308.8,57.2,RSXR2*,1018
NGC 4939,32.89,0.13,37.8,Sosies,2002A&A...393...57T,,13:04:14,-10:20:23,308.1,52.4,SAS4,3008
[KK98] 182,28.81,...,5.78,TRGB,2007AJ....133..504K,,13:05:02,-40:04:58,305.8,22.7,Irr,452
NGC 4947,31.79,0.39,22.8,Sosies,2002A&A...393...57T,,13:05:20,-35:20:15,306.1,27.4,SXR3P,2251
NGC 4945,27.63,0.06,3.36,TRGB,2005ApJ...633..810M,,13:05:28,-49:28:06,305.3,13.3,SBS6*/,383
NGC 4946,33.39,0.17,47.6,SBF,2001ApJ...546..681T,I,13:05:29,-43:35:28,305.6,19.2,E+..?,2908
IC 4182,27.4,...,3.02,Cepheids,1992AAS...181.8202J,UBVRI,13:05:50,#REF!,107.7,79.1,SAS9,362
DDO 165,28.3,0.19,4.57,TRGB,2002A&A...383..125K,I,13:06:25,#REF!,120.8,49.4,I..9,169
UGC 08215,28.29,...,4.55,TRGB,2006AJ....131.1361K,,13:08:04,#REF!,114.6,70,I..9,296
NGC 4981,31.74,0.24,22.3,Sosies,2002A&A...393...57T,,13:08:49,-6:46:39,310.6,55.8,SXR4,1596
NGC 4995,32.4,0.2,30.2,Sosies,2002A&A...393...57T,,13:09:41,-7:50:00,310.8,54.8,SXT3,1676
ESO 576- G 001,34.56,0.12,81.7,Sosies,2002A&A...393...57T,,13:10:24,-21:41:03,308.8,41,R'_2:)SB(r)bc,2756
ESO 269- G 058,27.9,...,3.8,TRGB,2007AJ....133..504K,,13:10:33,-46:59:27,306.3,15.8,I.0.P,227
NGC 5005,30.68,0.3,13.7,SNIa,2005ApJ...624..532R,SN 1996ai,13:10:56,#REF!,101.6,79.2,SXT4,997
NGC 5012,32.96,0.16,39.1,Sosies,2002A&A...393...57T,,13:11:37,#REF!,351.4,83.8,SXT5,2630
NGC 5023,28.94,0.05,6.14,TRGB,2006astro.ph..3457T,,13:12:13,#REF!,110.4,72.6,S..6*/,478
[KK98] 189,28.12,...,4.21,TRGB,2007AJ....133..504K,,13:12:45,-41:49:57,307.2,20.9,dw Sph?,-
NGC 5011,33.11,0.22,41.9,SBF,2001ApJ...546..681T,I,13:12:52,-43:05:46,307.1,19.6,E.1+,2937
NGC 5018,33.4,0.6,47.9,GCLF,1996A&A...314..357H,,13:13:01,-19:31:05,309.9,43.1,E.3.*,2673
ESO 269- G 066,27.87,...,3.75,TRGB,2007AJ....133..504K,,13:13:09,-44:53:24,307,17.8,dE,615
"DDO 167, UGC 08308",28.11,0.26,4.19,TRGB,2003A&A...398..467K,,13:13:23,#REF!,111.6,70.3,I..9,242
NGC 5033,30.92,0.09,15.3,Sosies,2002A&A...393...57T,,13:13:28,#REF!,98.1,79.4,SAS5,926
CGCG 044-035,36.15*,0.26,166,SNIa,2006ApJ...645..488W,"SN 2002cx, z = 0.02396",13:13:49,#REF!,318.7,69.1,S?,7137
"DDO 168, UGC 08320",28.18,0.26,4.33,TRGB,2003A&A...398..467K,,13:14:28,#REF!,110.8,70.7,IB.9,272
NGC 5044,32.47,0.28,31.2,SBF,2001ApJ...546..681T,I,13:15:24,-16:23:08,311.2,46.1,E.0,2580
DDO 169,29.58,...,8.23,BS,1998A&AS..131....1K,,13:15:30,#REF!,111.5,69.1,IA.9,342
NGC 5055,30.07,0.07,10.3,Sosies,2002A&A...393...57T,,13:15:49,#REF!,106,74.3,SAT4,571
NGC 5051,34.59,0.07,82.8,Sosies,2002A&A...393...57T,,13:16:20,-28:17:09,309.6,34.3,SXT4*,4370
NGC 5054,30.84,0.23,14.7,Sosies,2002A&A...393...57T,,13:16:59,-16:38:06,311.7,45.8,SAS4,1630
IC 4214,32.18,0.42,27.3,Sosies,2002A&A...393...57T,,13:17:43,-32:06:06,309.4,30.4,PSBR2,2135
NGC 5061,31.96,0.26,24.7,SBF,2001MNRAS.327.1004B,,13:18:05,-26:50:14,310.3,35.7,E.0,1897
ESO 269- G 085,31.56,0.16,20.5,Sosies,2002A&A...393...57T,,13:19:59,-47:16:55,307.9,15.3,SAT5,2681
ESO 576- G 034,34.67,...,86,SNII opt,2003MNRAS.346...97N,SN 1999cr,13:20:18,-20:08:55,312.1,42.2,S/Irr,5877
ESO 576- G 040,31.59*,0.2,20.7,SNIa,2006ApJ...645..488W,"SN 1997br, z = 0.00694",13:20:44,-22:03:04,311.8,40.3,SB7?P/,1977
[KK98] 195,28.59,...,5.2,TRGB,2003ApJ...596L..47P,,13:21:08,-31:31:48,310.3,30.9,dw Irr,421
NGC 5090,33.14,0.36,42.4,SBF,2001MNRAS.327.1004B,,13:21:13,-43:42:16,308.6,18.8,E.2,3222
CGCG 016-058,35.77*,0.28,138,SNIa,2006ApJ...645..488W,"SN 1994T, z = 0.03466",13:21:31,-2:08:44,318,59.8,Sa,10324
[KK98] 196,28,...,3.98,TRGB,2007AJ....133..504K,,13:21:47,-45:03:42,308.5,17.5,IB9,574
NGC 5102,27.66,...,3.4,TRGB,2002A&A...385...21K,,13:21:58,-36:37:49,309.7,25.8,LA.-,316
[KK98] 197,27.94,...,3.87,TRGB,2007AJ....133..504K,,13:22:02,-42:32:07,308.9,20,Im,-
[KK2000] 55,27.98,...,3.94,TRGB,2007AJ....133..504K,,13:22:13,-42:43:41,308.9,19.8,Sph,-
MCG -03-34-063,34.61,0.22,83.6,Sosies,2002A&A...393...57T,,13:22:19,-16:42:30,313.5,45.5,SBb,4855
IC 4232,35.431*,0.049,118,SNIa,2006ApJ...647..501P,"SN 1991U, z = 0.03144",13:23:23,-26:06:34,311.8,36.2,S..4*P,9146
ESO 508- G 067,35.06*,0.24,100,SNIa,2004ApJ...607..665R,"SN 1992ag, z = 0.026",13:24:11,-23:52:39,312.5,38.4,S...?,7568
IC 4237,32.22,0.26,27.8,Sosies,2002A&A...393...57T,,13:24:33,-21:08:13,313.2,41.1,SBR3$,2525
"[KK98] 200, AM 1321-304",28.31,...,4.6,TRGB,2002A&A...385...21K,,13:24:36,-30:58:19,311.3,31.4,dw Im,348
NGC 5145,33.7,1.01,55,Sosies,2002A&A...393...57T,,13:25:14,#REF!,102.1,72.5,S?,1299
NGC 5128,27.67,0.12,3.42,Cepheids,2006astro.ph..5707F,"42, VI",13:25:28,-43:01:09,309.5,19.4,L...P,398
IC 4247,28.48,...,4.97,TRGB,2007AJ....133..504K,,13:26:44,-30:21:45,311.9,31.9,S?,269
ESO 324- G 024,27.84,...,3.7,TRGB,2002A&A...385...21K,,13:27:37,-41:28:50,310.2,20.9,IX.9*,357
NGC 5152,34.69,0.62,86.7,Sosies,2002A&A...393...57T,,13:27:51,-29:37:07,312.3,32.6,SBS3,4321
CVn dSph,21.75,0.2,0.22,TRGB,2006ApJ...643L.103Z,,13:28:04,#REF!,74.3,79.8,,-
NGC 5161,31.72,0.1,22.1,Sosies,2002A&A...393...57T,,13:29:14,-33:10:26,312,29,SAS5*,2247
NGC 5204,28.34,0.27,4.65,TRGB,2003A&A...398..467K,,13:29:37,#REF!,113.5,58,SAS9,320
NGC 5170,31.76,0.23,22.5,GCLF,2000ApJS..128..431F,,13:29:49,-17:57:59,315.7,44,SAS5*/,1396
"M51, NGC 5194",29.41,0.12,7.62,PNLF,2002ApJ...577...31C,,13:29:53,#REF!,104.9,68.6,SAS4P,551
NGC 5184,33.89,0.12,60,Sosies,2002A&A...393...57T,,13:30:12,-1:39:47,322.4,59.7,SXR5,3928
UGC 08508,27.04,0.13,2.56,TRGB,2002A&A...389..812K,,13:30:44,#REF!,111.1,61.3,IA.9,171
[HM93] 132819-3257.6,36.64*,0.19,202,SNIa,2006ApJ...645..488W,"SN 1993O, z = 0.052",13:31:09,-33:12:58,312.4,28.9,E5/S01,15043
"NGC 5193, Abell 3560",33.41,0.25,48.1,GCLF,1998ApJ...499..577L,,13:31:54,-33:14:04,312.6,28.9,E...P*,3547
NGC 5218,33.53,0.33,50.8,Sosies,2002A&A...393...57T,,13:32:10,#REF!,115.1,53.7,SBS3$P,2935
NGC 5229,28.55,...,5.13,BS,1999AstL...25..322S,,13:34:03,#REF!,103.9,67.6,SBS7?/,455
NGC 5238,28.57,0.2,5.18,BS,1998A&AS..133..181M,,13:34:43,#REF!,107.4,64.2,SXS8,334
ESO 383- G 032,34.931*,0.091,94.7,SNIa,2006A&A...447...31A,"SN 2000ca, z = 0.02362",13:35:23,-34:09:35,313.2,27.8,RS..4*,7067
UGCA 365,28.57,...,5.18,TRGB,2007AJ....133..504K,,13:36:31,-29:14:06,314.6,32.6,I9,440
[KK98] 208,28.35,...,4.68,TRGB,2002A&A...385...21K,,13:36:36,-29:34:17,314.5,32.3,dw Irr,249
"IC 4296, Abell 3565",33.97,0.16,62.2,GCLF,2002ApJ...567..294O,,13:36:39,-33:57:57,313.5,28,E,3621
HIDEEP J1336-3321,28.27,...,4.5,TRGB,2004ASPC..327..324G,,13:36:56,-33:21:24,313.7,28.6,,451
"M83, NGC 5236",28.25,0.15,4.5,Cepheids,2003ApJ...590..256T,"12, VI",13:37:01,-29:51:57,314.6,32,SXS5,384
ESO 444- G 084,28.31,...,4.6,TRGB,2002A&A...385...21K,,13:37:20,-28:02:42,315.1,33.7,I..9,460
HIPASS J1337-39,28.45,...,4.9,TRGB,2004ASPC..327..324G,,13:37:30,-39:52:54,312.5,22.1,Im,516
NGC 5237,27.66,...,3.4,TRGB,2007AJ....133..504K,,13:37:39,-42:50:49,311.9,19.2,I0?,213
UGC 08638,28.15,...,4.27,TRGB,2006AJ....131.1361K,,13:39:19,#REF!,23.3,79,I..9,300
NGC 5254,32.33,0.11,29.2,Sosies,2002A&A...393...57T,,13:39:38,-11:29:38,321.3,49.6,SAT5*,2234
"DDO 181, UGC 08651",27.39,0.21,3.01,TRGB,2002A&A...389..812K,,13:39:54,#REF!,89.7,73.1,I..9,277
NGC 5253,27.39,0.18,3.01,Cepheids,2002A&A...389...19P,MW HIPP,13:39:56,-31:38:24,314.9,30.1,P,271
IC 4316,28.22,...,4.41,TRGB,2002A&A...385...21K,,13:40:18,-28:53:32,315.7,32.8,IB.9?P,547
NGC 5264,28.27,...,4.5,TRGB,2002A&A...385...21K,,13:41:37,-29:54:47,315.7,31.7,IBS9,349
[KK2000] 57,27.97,...,3.93,TRGB,2007AJ....133..504K,,13:41:38,-42:34:55,312.7,19.3,Sph,-
AM 1339-445,27.76,...,3.58,TRGB,2002A&A...385...21K,,13:42:06,-45:12:18,312.2,16.8,DE.0?P,-
NGC 5273,30.93,0.26,15.3,SBF,2003ApJ...583..712J,I,13:42:08,#REF!,74.3,76.2,LAS0,1115
[KK98] 213,27.8,...,3.63,TRGB,2002A&A...385...21K,,13:43:36,-43:46:11,312.8,18.1,dw Sph,-
ESO 325- G 011,27.66,...,3.4,TRGB,2002A&A...385...21K,,13:45:01,-41:51:40,313.5,19.9,IBS9,390
AM 1343-452,27.92,...,3.84,TRGB,2002A&A...385...21K,,13:46:17,-45:41:05,312.9,16.1,dw Sph,-
NGC 5308,32.55,0.21,32.4,SBF,2001ApJ...559..584A,I,13:47:00,#REF!,111.2,54.9,L..-./,2169
"IC 4330, ESO 445- G 027",34.76,0.29,89.5,Tully-Fisher,2005Ap&SS.299..387R,"B, TD-Tully-Fisher",13:47:15,-28:19:55,317.6,32.9,SBT5,11371
[Cen N],27.82,...,3.67,TRGB,2007AJ....133..504K,,13:48:09,-47:33:54,312.7,14.2,,-
[KK98] 221,28,...,3.98,TRGB,2002A&A...385...21K,,13:48:46,-46:59:46,313,14.8,dw Sph,-
HIPASS J1348-37,28.8,...,5.75,TRGB,2007AJ....133..504K,,13:48:47,-37:58:29,315.2,23.5,,429
NGC 5322,32.47,0.23,31.2,SBF,2001ApJ...546..681T,I,13:49:15,#REF!,110.3,55.5,E.3+,2043
ESO 383- G 087,27.69,...,3.45,TRGB,2007AJ....133..504K,,13:49:18,-36:03:42,315.8,25.4,SBS8,191
MCG +08-25-047,35.64*,0.23,131,SNIa,2006ApJ...645..488W,"SN 1996C, z = 0.027",13:50:49,#REF!,99.6,65,Sa,8087
DDO 183,27.08,0.13,5.1,BS,1998A&AS..128..459M,,13:50:51,#REF!,77.8,73.4,I..9,264
HIPASS 1351-47,28.76,...,5.65,TRGB,2007AJ....133..504K,,13:51:22,-47:00:00,313.4,14.7,,374
NGC 5337,33.59,0.43,52.2,Sosies,2002A&A...393...57T,,13:52:23,#REF!,81.6,72.2,S?,2306
ESO 445- G 066,34.957*,0.034,95.7,SNIa,2006ApJ...647..501P,"SN 1993H, z = 0.02421",13:52:50,-30:42:36,318.2,30.3,SBR2,7141
UGC 08799,30.19,0.23,10.9,SBF,2005A&A...437..823R,R,13:53:20,#REF!,340.3,64.1,I..9?,1107
NGC 5350,32.27,0.25,28.4,Sosies,2002A&A...393...57T,,13:53:22,#REF!,82.8,71.6,SBR3,2384
NGC 5338,30.54,0.3,12.8,SBF,2001ApJ...546..681T,I,13:53:27,#REF!,339.7,63.6,LB..*,789
ESO 384- G 009,34.46,0.32,78,Tully-Fisher,2005Ap&SS.299..387R,"B, TD-Tully-Fisher",13:53:41,-33:56:58,317.4,27.2,SBS5,11279
kkh 086,27.08,0.13,2.61,TRGB,2002A&A...389..812K,,13:54:34,#REF!,339,62.6,Ir,260
"DDO 185, UGC 08837",29.6,...,8.3,BS,1994BSAO...38....5K,,13:54:46,#REF!,103.7,60.8,IBS9./,259
UGC 08833,27.52,0.15,3.19,TRGB,2003A&A...398..467K,,13:54:49,#REF!,69.7,74,I..9*,296
NGC 5376,33.72,0.15,55.5,Sosies,2002A&A...393...57T,,13:55:16,#REF!,108.6,55.8,SXR3$,2214
NGC 5371,32.57,0.36,32.7,Sosies,2002A&A...393...57T,,13:55:40,#REF!,82.2,71.2,SXT4,2635
NGC 5364,31.05,0.22,16.2,Sosies,2002A&A...393...57T,,13:56:12,#ERROR!,340.7,63,SAT4P,1216
NGC 5377,32.46,...,31,SNII opt,1996ApJ...466..911E,SN 1992H,13:56:17,#REF!,94.9,66.2,RSBS1,1892
ESO 384- G 016,28.28,...,4.53,TRGB,2007AJ....133..504K,,13:57:01,-35:19:59,317.7,25.6,DE.3.?,428
UGC 08882,29.6,0.2,8.3,SBF,2005A&A...437..823R,R,13:57:15,#REF!,103.3,60.4,"dE, N",-
[Bootes dSph],18.96,0.12,0.062,RR Lyrae,2006astro.ph..7091S,15 RR Lyrae,14:00:06,#REF!,358.1,69.6,,-
NGC 5448,32.71,0.18,34.8,Sosies,2002A&A...393...57T,,14:02:50,#REF!,95.7,64,RSXR1,2125
NGC 5440,33.672*,0.305,53.6,SNIa,2006ApJ...647..501P,"SN 1998D, z = 0.01230",14:03:01,#REF!,63.8,72.9,S1,3759
"M101, NGC 5457",29.05,0.14,6.46,Cepheids,1998ApJ...508..491S,,14:03:13,#REF!,102,59.8,SXT6,360
NGC 5408,28.4,...,4.8,TRGB,2002A&A...385...21K,,14:03:21,-41:22:40,317.2,19.5,IBS9,370
NGC 5427,32.34,0.83,29.4,Sosies,2002A&A...393...57T,,14:03:26,-6:01:51,333.3,52.5,SAS5P,2592
NGC 5474,29.15,...,6.8,BS,2000A&AS..142..425D,,14:05:02,#REF!,100.8,60.2,SAS6P,395
NGC 5477,29.43,...,7.7,BS,1994BSAO...38....5K,,14:05:33,#REF!,101.6,59.5,SAS9,425
NGC 5468,33.17*,0.28,42.6,SNIa,2006ApJ...645..488W,"SN 1999cp, z = 0.00948",14:06:35,-5:27:11,334.9,52.7,SXT6,2793
NGC 5481,31.9,0.5,24,GCLF,2000ApJS..128..431F,,14:06:41,#REF!,96.8,62.4,E+,2176
[KK98] 230,26.39,...,1.9,TRGB,2004AJ....127.2031K,,14:07:11,#REF!,63.7,72,dw Irr,134
NGC 5485,32.07,0.34,25.9,SBF,2001ApJ...546..681T,I,14:07:11,#ERROR!,101.8,58.9,LA..P,2107
NGC 5490,34.33*,0.28,72.3,SNIa,2006ApJ...645..488W,"SN 1997cn, z = 0.0162",14:09:57,#REF!,9.1,69.5,E,5031
NGC 5494,33.47,0.78,49.4,Sosies,2002A&A...393...57T,,14:12:24,-30:38:39,322.8,29.1,SAS5,2579
DDO 187,29.24,0.33,7.05,Cepheids,1998AJ....116.1679H,2,14:15:57,#REF!,25.6,70.5,I..9,197
NGC 5557,32.78,0.3,36.1,SBF,2001MNRAS.327.1004B,,14:18:26,#REF!,65.3,69.3,E.1,3277
NGC 5585,28.78,...,5.7,BS,1994BSAO...38....5K,,14:19:48,#REF!,101,56.5,SXS7,436
NGC 5582,32.27,0.23,28.4,SBF,2001ApJ...546..681T,I,14:20:43,#REF!,72.8,67.6,E,1532
NGC 5574,31.89,0.62,23.9,SBF,2001ApJ...546..681T,I,14:20:56,#REF!,348.6,57.9,LB*-$/,1639
NGC 5576,32.03,0.14,25.5,SBF,2001ApJ...546..681T,I,14:21:04,#REF!,348.7,57.9,E.3,1475
NGC 5592,33.57,0.15,51.8,Sosies,2002A&A...393...57T,,14:23:55,-28:41:17,326.4,29.9,SBS4?,4264
NGC 5611,32.01,0.46,25.2,SBF,2001ApJ...546..681T,I,14:24:05,#REF!,55,69.2,L,2000
DDO 190,27.23,0.2,2.79,TRGB,2002A&A...389..812K,,14:24:43,#REF!,82,64.5,IA.9,259
IC 4423,35.75*,0.22,137,SNIa,2006ApJ...645..488W,"SN 2001ay, z = 0.03024",14:26:18,#REF!,36,68.8,S?,9125
NGC 5631,32.22,0.24,27.8,SBF,2001ApJ...546..681T,I,14:26:33,#REF!,99.5,56,LAS0,2112
UKS 1424-460,27.78,...,3.6,TRGB,2002A&A...385...21K,,14:28:04,-46:18:06,319.8,13.4,IBS9,256
1ES 1426+428,38.88,...,529,BL LAC M,2005ApJ...635..173S,,14:28:33,#REF!,77.5,64.9,BLLAC,36200
NGC 5638,32.1,0.24,26.3,SBF,2001ApJ...546..681T,I,14:29:40,#REF!,351.7,56.5,E.1,1806
NGC 5653,33.3,0.4,45.7,Sosies,2002A&A...393...57T,,14:30:10,#REF!,49.6,68.1,PSAT3,3641
NGC 5656,33.92,0.28,60.8,Sosies,2002A&A...393...57T,,14:30:26,#REF!,60.3,67.4,S..2,3278
NGC 5678,32.26,0.13,28.3,Sosies,2002A&A...393...57T,,14:32:06,#REF!,100,54.5,SXT3,2062
